Experiment 'schedule-test', execution 1 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:00
Experiment 'schedule-test', execution 2 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:00
Experiment 'schedule-test', execution 3 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:01
Experiment 'schedule-test', execution 4 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:01
Experiment 'schedule-test', execution 5 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:02
Experiment 'schedule-test', execution 6 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:03
Experiment 'schedule-test', execution 7 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:03
Experiment 'schedule-test', execution 8 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:04
Experiment 'schedule-test', execution 9 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:04
Experiment 'schedule-test', execution 10 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:23:05
Experiment 'schedule-test', execution 1 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:06
Experiment 'schedule-test', execution 2 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:07
Experiment 'schedule-test', execution 3 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:08
Experiment 'schedule-test', execution 4 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:08
Experiment 'schedule-test', execution 5 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:09
Experiment 'schedule-test', execution 6 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:09
Experiment 'schedule-test', execution 7 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:10
Experiment 'schedule-test', execution 8 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:10
Experiment 'schedule-test', execution 9 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:11
Experiment 'schedule-test', execution 10 of gemm with dataset: MEDIUM_DATASET, schedule: GUIDED, chunk_size: 128, threads: 1 start at 06/11/2020-00:51:11
