Experiment 'schedule-test', execution 1 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 2 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 3 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 4 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 5 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 6 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 7 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 8 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 9 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 10 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:21:23
Experiment 'schedule-test', execution 1 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 2 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 3 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 4 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 5 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 6 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 7 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 8 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 9 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
Experiment 'schedule-test', execution 10 of gemm with dataset: SMALL_DATASET, schedule: GUIDED, chunk_size: 32, threads: 4 start at 06/11/2020-00:49:31
