exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1100384, 
0.001135
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1147288, 
0.001176
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1124787, 
0.001150
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1096884, 
0.001113
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1075183, 
0.001099
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1086183, 
0.001112
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1089884, 
0.001117
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1085984, 
0.001103
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1112885, 
0.001133
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1206793, 
0.001242
