Experiment 'schedule-test', execution 1 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:52:33
Experiment 'schedule-test', execution 2 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:53:51
Experiment 'schedule-test', execution 3 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:54:50
Experiment 'schedule-test', execution 4 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:55:49
Experiment 'schedule-test', execution 5 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:56:55
Experiment 'schedule-test', execution 6 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:57:54
Experiment 'schedule-test', execution 7 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-03:59:13
Experiment 'schedule-test', execution 8 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-04:00:23
Experiment 'schedule-test', execution 9 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-04:01:46
Experiment 'schedule-test', execution 10 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-04:02:58
Experiment 'schedule-test', execution 1 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:26
Experiment 'schedule-test', execution 2 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:28
Experiment 'schedule-test', execution 3 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:29
Experiment 'schedule-test', execution 4 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:30
Experiment 'schedule-test', execution 5 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:32
Experiment 'schedule-test', execution 6 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:33
Experiment 'schedule-test', execution 7 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:35
Experiment 'schedule-test', execution 8 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:36
Experiment 'schedule-test', execution 9 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:37
Experiment 'schedule-test', execution 10 of gemm with dataset: LARGE_DATASET, schedule: STATIC, chunk_size: 16, threads: 1 start at 29/10/2020-10:38:39
